date,symbol,open,high,low,close
2025-10-16,ETH,72.34,73.59,72.06,73.59
2025-10-15,ETH,73.13,73.39,71.61,72.34
2025-10-14,ETH,70.58,75.44,70.5,73.13
2025-10-13,ETH,71.31,71.31,69.15,70.58
2025-10-12,ETH,71.71,71.85,69.25,71.31
2025-10-11,ETH,67.63,73.7,67.63,71.71
2025-10-10,ETH,64.69,73.15,63.48,67.63
2025-10-09,ETH,62.74,64.74,62.73,64.69
2025-10-08,ETH,63.84,66.08,62.61,62.74
2025-10-07,ETH,63.05,64.23,62.62,63.84
2025-10-06,ETH,63.15,63.67,62.41,63.1
2025-10-05,ETH,62.52,63.86,62.16,63.15
2025-10-04,ETH,62.42,62.98,62.21,62.52
2025-10-03,ETH,63.54,63.62,61.84,62.42
2025-10-02,ETH,63.03,64.0,62.35,63.54
2025-10-01,ETH,62.38,63.19,61.65,63.03
2025-09-30,ETH,63.14,63.38,62.21,62.38
2025-09-29,ETH,63.86,63.9,62.55,63.14
2025-09-28,ETH,63.5,64.06,63.08,63.86
2025-09-27,ETH,63.6,63.92,63.3,63.5
2025-09-26,ETH,66.69,66.69,62.73,63.6
2025-09-25,ETH,63.57,66.98,63.49,66.7
2025-09-24,ETH,64.12,64.64,62.9,63.57
2025-09-23,ETH,63.28,64.41,62.71,64.12
2025-09-22,ETH,60.57,65.42,60.39,63.28
2025-09-21,ETH,60.3,60.68,59.91,60.57
2025-09-20,ETH,60.79,60.91,60.06,60.3
2025-09-19,ETH,61.91,61.93,60.11,60.79
2025-09-18,ETH,63.67,63.76,61.16,61.91
2025-09-17,ETH,63.5,65.37,62.86,63.67
2025-09-16,ETH,62.78,63.5,62.6,63.5
2025-09-15,ETH,61.68,63.51,61.68,62.78
2025-09-14,ETH,61.8,62.04,60.98,61.68
2025-09-13,ETH,63.78,64.01,61.71,61.8
2025-09-12,ETH,64.15,64.27,62.99,63.78
2025-09-11,ETH,65.1,65.23,63.6,64.15
2025-09-10,ETH,65.15,67.09,64.85,65.1
2025-09-09,ETH,65.13,65.24,64.22,65.15
2025-09-08,ETH,67.1,67.27,65.06,65.13
2025-09-07,ETH,67.4,67.41,66.85,67.1
2025-09-06,ETH,67.53,68.01,66.94,67.41
2025-09-05,ETH,70.48,70.52,66.14,67.53
2025-09-04,ETH,70.59,71.11,69.84,70.48
2025-09-03,ETH,71.12,71.33,70.12,70.59
2025-09-02,ETH,70.87,71.44,70.57,71.12
2025-09-01,ETH,69.67,70.86,68.32,70.65
2025-08-31,ETH,70.7,70.81,68.89,69.67
2025-08-30,ETH,70.74,71.15,70.31,70.7
2025-08-29,ETH,70.42,72.83,70.04,70.74
2025-08-28,ETH,71.73,71.73,69.99,70.42
2025-08-27,ETH,74.72,74.77,71.73,71.73
2025-08-26,ETH,74.6,76.52,73.87,74.72
2025-08-25,ETH,70.71,75.63,70.71,74.6
2025-08-24,ETH,68.79,72.64,68.79,70.71
2025-08-23,ETH,69.41,69.46,68.17,68.79
2025-08-22,ETH,69.99,71.41,67.64,69.41
2025-08-21,ETH,70.55,70.57,69.33,69.99
2025-08-20,ETH,72.92,73.61,70.08,70.55
2025-08-19,ETH,70.58,72.95,70.5,72.92
2025-08-18,ETH,72.82,72.99,70.0,70.58
2025-08-17,ETH,71.72,72.83,69.26,72.82
2025-08-16,ETH,71.64,71.85,70.28,71.72
2025-08-15,ETH,71.24,71.65,68.52,71.64
2025-08-14,ETH,70.88,71.61,67.94,71.24
2025-08-13,ETH,71.2,72.71,70.56,70.88
2025-08-12,ETH,69.21,70.51,67.87,69.79
2025-08-11,ETH,68.38,71.57,66.77,69.21
2025-08-10,ETH,70.64,70.81,67.31,68.38
2025-08-09,ETH,67.97,70.97,67.5,70.64
2025-08-08,ETH,65.44,68.75,63.24,67.97
2025-08-07,ETH,64.68,66.09,63.04,65.44
2025-08-06,ETH,65.94,65.94,64.47,64.68
2025-08-05,ETH,65.66,66.18,64.42,65.94
2025-08-04,ETH,68.96,68.96,63.79,66.19
2025-08-03,ETH,70.19,70.22,68.02,68.96
2025-08-02,ETH,69.77,70.47,67.26,70.19
2025-08-01,ETH,67.3,70.5,66.1,69.77
2025-07-31,ETH,65.18,67.32,64.82,67.3
2025-07-30,ETH,66.53,66.85,64.07,65.18
2025-07-29,ETH,67.68,69.14,65.82,66.53
2025-07-28,ETH,67.96,69.75,67.65,67.68
2025-07-27,ETH,67.52,69.85,67.34,67.96
2025-07-26,ETH,67.36,67.61,66.49,67.52
2025-07-25,ETH,67.47,70.61,67.02,67.36
2025-07-24,ETH,68.18,68.27,66.48,67.47
2025-07-23,ETH,68.42,68.47,66.88,68.18
2025-07-22,ETH,69.6,70.1,67.23,68.42
2025-07-21,ETH,70.58,70.85,68.7,69.6
2025-07-20,ETH,67.55,71.94,67.36,70.58
2025-07-19,ETH,67.29,67.65,66.17,67.55
2025-07-18,ETH,71.04,71.46,67.08,67.29
2025-07-17,ETH,66.17,72.66,65.83,71.04
2025-07-16,ETH,69.08,70.17,65.32,66.17
2025-07-15,ETH,67.67,70.02,64.71,69.08
2025-07-14,ETH,66.36,68.51,66.16,67.67
2025-07-13,ETH,68.03,69.77,66.27,66.36
2025-07-12,ETH,68.43,69.03,66.16,68.03
2025-07-11,ETH,67.2,68.76,66.07,68.43
2025-07-10,ETH,65.37,67.97,64.56,67.2
2025-07-09,ETH,63.12,65.82,62.69,65.37
2025-07-08,ETH,63.75,63.95,61.69,63.12
2025-07-07,ETH,63.38,64.38,62.86,63.75
2025-07-06,ETH,62.73,63.42,61.91,63.38
2025-07-05,ETH,64.25,64.27,61.86,62.73
2025-07-04,ETH,65.45,65.51,62.22,64.25
2025-07-03,ETH,66.47,66.67,64.8,65.45
2025-07-02,ETH,61.62,67.01,60.14,66.47
2025-07-01,ETH,62.17,62.26,61.05,61.62
